Extracting all sequences per session
---------------------------------------------------------------------------------------------------------------
Generating most common sequences
---------------------------------------------------------------------------------------------------------------
Most common patterns:

Events | [[1, "TAB_CREATED"], [2, "TAB_REMOVED"], [3, "TAB_ACTIVATED"], [4, "TAB_MOVED"], [5, "TAB_UPDATED"], [6, "TAB_ATTACHED"], [7, "TAB_DETACHED"]]
GSP | window size: 100 sec | max gap: 5 sec | min support: 0.1% of transactions

Sequence: 555555555555555555555555555555555555555555555555555555555555555 | Occured: 21 times
Sequence: 55555555555555555555555555555555555555555555555555555555555555 | Occured: 23 times
Sequence: 5555555555555555555555555555555555555555555555555555555555555 | Occured: 24 times
Sequence: 55555555555555555555555555555555555555555555555555555555555 | Occured: 26 times
Sequence: 55555555555555555555555555555555555555555555555555555555 | Occured: 28 times
Sequence: 5555555555555555555555555555555555555555555555555555555 | Occured: 29 times
Sequence: 555555555555555555555555555555555555555555555555555555 | Occured: 31 times
Sequence: 55555555555555555555555555555555555555555555555555555 | Occured: 32 times
Sequence: 5555555555555555555555555555555555555555555555555555 | Occured: 34 times
Sequence: 55555555555555555555555555555555555555555555555555 | Occured: 35 times
Sequence: 5555555555555555555555555555555555555555555555555 | Occured: 38 times
Sequence: 555555555555555555555555555555555555555555555555 | Occured: 43 times
Sequence: 5555555555555555555555555555555555555555555555 | Occured: 45 times
Sequence: 555555555555555555555555555555555555555555555 | Occured: 47 times
Sequence: 55555555555555555555555555555555555555555555 | Occured: 48 times
Sequence: 5555555555555555555555555555555555555555555 | Occured: 49 times
Sequence: 555555555555555555555555555555555555555555 | Occured: 54 times
Sequence: 55555555555555555555555555555555555555555 | Occured: 58 times
Sequence: 5555555555555555555555555555555555555555 | Occured: 60 times
Sequence: 55555555555555555555555555555555555555 | Occured: 70 times
Sequence: 5555555555555555555555555555555555555 | Occured: 76 times
Sequence: 555555555555555555555555555555555555 | Occured: 79 times
Sequence: 55555555555555555555555555555555555 | Occured: 82 times
Sequence: 3555555555555555555555555555555555 | Occured: 25 times
Sequence: 1355555555555555555555555555555555 | Occured: 26 times
Sequence: 5555555555555555555555555555555555 | Occured: 87 times
Sequence: 135555555555555555555555555555555 | Occured: 33 times
Sequence: 355555555555555555555555555555555 | Occured: 52 times
Sequence: 555555555555555555555555555555555 | Occured: 105 times
Sequence: 35555555555555555555555555555555 | Occured: 70 times
Sequence: 55555555555555555555555555555555 | Occured: 142 times
Sequence: 3555555555555555555555555555555 | Occured: 79 times
Sequence: 5555555555555555555555555555555 | Occured: 179 times
Sequence: 555555555555555555555555555555 | Occured: 209 times
Sequence: 13555555555555555555555555555 | Occured: 35 times
Sequence: 55555555555555555555555555555 | Occured: 214 times
Sequence: 5555555555555555555555555555 | Occured: 221 times
Sequence: 355555555555555555555555555 | Occured: 84 times
Sequence: 555555555555555555555555555 | Occured: 233 times
Sequence: 55555555555555555555555555 | Occured: 241 times
Sequence: 5555555555555555555555555 | Occured: 253 times
Sequence: 555555555555555555555523 | Occured: 25 times
Sequence: 135555555555555555555555 | Occured: 38 times
Sequence: 555555555555555555555555 | Occured: 264 times
Sequence: 55555555555555555555523 | Occured: 27 times
Sequence: 55555555555555555555555 | Occured: 279 times
Sequence: 1355555555555555555555 | Occured: 39 times
Sequence: 5555555555555555555555 | Occured: 298 times
Sequence: 355555555555555555555 | Occured: 96 times
Sequence: 555555555555555555555 | Occured: 319 times
Sequence: 55555555555555555553 | Occured: 28 times
Sequence: 35555555555555555555 | Occured: 102 times
Sequence: 55555555555555555555 | Occured: 331 times
Sequence: 3555555555555555555 | Occured: 106 times
Sequence: 5555555555555555555 | Occured: 354 times
Sequence: 555555555555555523 | Occured: 32 times
Sequence: 355555555555555555 | Occured: 113 times
Sequence: 555555555555555555 | Occured: 374 times
Sequence: 22222222222222222 | Occured: 20 times
Sequence: 55555555555555523 | Occured: 38 times
Sequence: 13555555555555555 | Occured: 44 times
Sequence: 35555555555555555 | Occured: 118 times
Sequence: 55555555555555555 | Occured: 400 times
Sequence: 2323232323232323 | Occured: 21 times
Sequence: 3555555555555555 | Occured: 128 times
Sequence: 5555555555555555 | Occured: 439 times
Sequence: 111111111111111 | Occured: 21 times
Sequence: 323232323232323 | Occured: 30 times
Sequence: 555555555555523 | Occured: 42 times
Sequence: 135555555555555 | Occured: 47 times
Sequence: 355555555555555 | Occured: 132 times
Sequence: 555555555555555 | Occured: 488 times
Sequence: 32323232323233 | Occured: 20 times
Sequence: 33333333333333 | Occured: 27 times
Sequence: 23232323232323 | Occured: 34 times
Sequence: 55555555555553 | Occured: 39 times
Sequence: 55555555555523 | Occured: 45 times
Sequence: 13555555555555 | Occured: 48 times
Sequence: 35555555555555 | Occured: 145 times
Sequence: 55555555555555 | Occured: 526 times
Sequence: 2222222222222 | Occured: 23 times
Sequence: 1111111111111 | Occured: 24 times
Sequence: 3333333333333 | Occured: 36 times
Sequence: 5555555555553 | Occured: 42 times
Sequence: 3232323232323 | Occured: 43 times
Sequence: 5555555555523 | Occured: 50 times
Sequence: 1355555555555 | Occured: 55 times
Sequence: 3555555555555 | Occured: 152 times
Sequence: 5555555555555 | Occured: 575 times
Sequence: 555555555535 | Occured: 21 times
Sequence: 111111111111 | Occured: 26 times
Sequence: 333333333333 | Occured: 47 times
Sequence: 555555555553 | Occured: 48 times
Sequence: 232323232323 | Occured: 51 times
Sequence: 555555555552 | Occured: 53 times
Sequence: 555555555523 | Occured: 56 times
Sequence: 135555555555 | Occured: 63 times
Sequence: 355555555555 | Occured: 171 times
Sequence: 555555555555 | Occured: 626 times
Sequence: 55555553555 | Occured: 21 times
Sequence: 55555555535 | Occured: 23 times
Sequence: 23333333333 | Occured: 24 times
Sequence: 33233233233 | Occured: 24 times
Sequence: 11111111111 | Occured: 29 times
Sequence: 23232323233 | Occured: 29 times
Sequence: 55555555553 | Occured: 57 times
Sequence: 55555555523 | Occured: 62 times
Sequence: 33333333333 | Occured: 64 times
Sequence: 13555555555 | Occured: 67 times
Sequence: 32323232323 | Occured: 69 times
Sequence: 35555555555 | Occured: 191 times
Sequence: 55555555555 | Occured: 721 times
Sequence: 2332332333 | Occured: 21 times
Sequence: 3355555555 | Occured: 22 times
Sequence: 5555553555 | Occured: 25 times
Sequence: 5135555555 | Occured: 25 times
Sequence: 5555555355 | Occured: 27 times
